rep,id,eta_rs,eta_S0,eta_K
8,14,-0.0135064,-0.013415,28.1413
9,14,-0.0198355,0.814261,19.711
10,14,-0.0157802,-0.57782,25.0298
1,15,-0.0422506,3.2655,-29.3647
2,15,-0.0305964,-0.956551,-53.0595
3,15,-0.0226422,-3.09728,-49.416
4,15,-0.0352078,1.33401,-14.606
5,15,-0.025976,-1.7004,-37.8746
6,15,-0.039075,1.08792,-47.1693
7,15,-0.0402334,0.269666,-30.3647
8,15,-0.0354223,-0.270004,-44.1627
9,15,-0.0309343,-0.815493,-50.4475
10,15,-0.0420266,2.5269,-33.4201
1,16,-0.00427978,-1.69244,14.4741
2,16,-0.00273565,-0.426494,16.4671
3,16,0.00259422,-1.84113,2.86979
4,16,-0.00960224,1.16599,17.0314
5,16,-0.00644237,0.0649561,7.40603
6,16,0.00683008,-3.40097,17.281
7,16,-0.00708775,0.963534,4.61099
8,16,-0.00231679,-0.848693,21.6281
9,16,0.00402214,-0.371223,13.5203
10,16,-0.00311159,0.192075,7.04888
1,17,0.0304607,-0.642111,-10.3587
2,17,0.0150385,1.40391,7.9535
3,17,0.0117626,0.938,29.9621
4,17,0.0066784,4.28042,15.8814
5,17,0.00306437,1.80802,10.1044
6,17,0.021978,-2.77193,17.183
7,17,0.0130306,2.6836,-0.464207
8,17,0.0316827,-0.966112,-2.44732
9,17,0.0288784,-2.05647,12.9311
10,17,0.0296644,-0.722841,18.8999
1,18,0.00407185,-3.18727,-25.4604
2,18,0.00161095,-2.95086,-20.8415
3,18,0.0298252,-6.50965,-28.0542
4,18,-0.0098633,-1.95369,-14.8689
5,18,-0.00438572,-1.58396,-9.62555
6,18,-0.0035431,-2.67746,-4.69075
7,18,0.0129248,-3.75494,-33.6346
8,18,0.0110401,-4.93753,-14.9216
9,18,0.0134461,-3.9704,-12.2199
10,18,0.00628522,-3.49172,-37.4548
1,19,-0.0205631,-0.14596,7.20087
2,19,-0.0213165,-0.0313597,-3.31887
3,19,-0.0318279,3.52562,25.3797
4,19,-0.013475,-2.93015,-12.7433
5,19,-0.0293075,2.18327,20.6412
6,19,-0.0273209,2.69585,23.8819
7,19,-0.0172486,-0.636252,10.1862
8,19,-0.0179193,-0.659946,13.104
9,19,-0.0221342,-0.267996,23.7508
10,19,-0.0223973,0.169866,23.6185
1,20,0.0329206,2.2183,26.1165
2,20,0.0347324,-2.55144,33.3646
3,20,0.0424174,-2.48161,24.5506
4,20,0.0279954,-0.402568,28.8875
5,20,0.0256147,1.93558,19.7799
6,20,0.0237457,2.2109,20.4984
7,20,0.0317464,1.24147,12.1819
8,20,0.0278275,0.304714,19.8124
9,20,0.034294,0.422321,12.3672
10,20,0.0258274,-0.102931,39.5669
1,21,-0.0338098,1.99712,72.4777
2,21,-0.0400359,3.47729,75.3719
3,21,-0.0239672,-0.772253,67.2927
4,21,-0.0321552,0.48856,53.7547
5,21,-0.0389719,3.75272,67.5719
6,21,-0.0347053,1.26257,84.2187
7,21,-0.0373137,2.39676,53.5233
8,21,-0.0376403,2.83988,55.7091
9,21,-0.0344431,1.88838,85.8135
10,21,-0.0394997,1.8031,79.8365
1,22,-0.00962873,2.50328,-15.5006
2,22,0.0102954,-2.55924,-5.98618
3,22,0.0081705,-3.27121,16.4267
4,22,-0.0104,0.356281,20.672
5,22,2.349e-05,-0.790647,-6.4306
6,22,-0.00833746,-1.00664,10.7845
7,22,-0.00163273,-1.13857,4.62122
8,22,0.0057643,-0.894638,-2.48028
9,22,0.00224593,-2.51963,3.11952
10,22,-0.0122621,0.903215,4.63485
1,23,0.0213436,1.79587,-30.6972
2,23,0.0262966,-1.59451,-45.0892
3,23,0.0216255,-0.184341,-31.1846
4,23,0.0154402,1.35138,-50.3947
5,23,0.0295891,0.280033,-36.6353
6,23,0.0327759,-1.25269,-37.1186
7,23,0.0204139,-1.14393,-32.4376
8,23,0.0206853,-0.227454,-26.9282
9,23,0.0222219,1.17178,-50.9048
10,23,0.0173224,1.96905,-36.8294
1,24,0.0273458,-0.299542,-16.3768
2,24,0.0236014,3.84771,-15.1636
3,24,0.0281742,1.97581,-15.6657
4,24,0.0320883,0.741264,-20.6379
5,24,0.0197542,3.86952,-37.0312
6,24,0.0319928,1.00161,-13.6644
7,24,0.0148147,2.86634,-27.581
8,24,0.0374583,-0.82357,-28.8286
9,24,0.0391279,-2.02728,-37.3829
10,24,-8.92412e-05,6.79901,-19.3078
1,25,-0.014684,1.98809,-10.8063
2,25,-0.0129041,1.98301,-46.325
3,25,-0.0203731,2.80168,-39.2349
4,25,-0.0191884,2.29153,-31.9077
5,25,-0.013903,-0.266058,-14.5731
6,25,-0.012833,-0.611407,-19.4604
7,25,-0.00587203,-1.50632,-31.9556
8,25,-0.0087511,-0.656929,-36.8769
9,25,-0.0121188,1.58771,-27.0006
10,25,-0.0104119,0.195253,-31.9584
1,26,-0.00250352,0.138473,40.1355
2,26,-0.00329509,2.18473,41.9034
3,26,0.00290425,0.0352364,35.0383
4,26,0.00257602,1.09225,35.3348
5,26,0.0286415,-4.3455,35.4376
6,26,-0.00497491,1.03539,47.2569
7,26,-0.00423486,1.75302,27.4292
8,26,0.0116979,-1.13269,17.4413
9,26,-0.00245001,3.01834,40.4276
10,26,-0.00483304,2.26355,50.7533
1,27,0.000223688,-0.700032,-14.1486
2,27,0.00765892,-3.33821,-21.8857
3,27,0.0137115,-3.72262,-29.8957
4,27,-0.00449093,1.94977,-20.0863
5,27,-0.0102305,1.04503,-23.7927
6,27,-0.00341381,0.230304,-26.5863
7,27,0.000333756,0.148695,-37.7942
8,27,0.00190675,-1.44085,-36.644
9,27,-0.00358392,0.350777,-23.3562
10,27,0.00660414,-1.46968,-23.9864
1,28,0.00278493,-1.30887,6.20907
2,28,0.0184377,-2.82564,-13.1137
3,28,-0.00560091,2.3877,8.45737
4,28,0.00398994,-0.677141,-3.36749
5,28,-0.0014471,0.892792,12.0553
6,28,0.00244644,0.55221,-14.2213
7,28,0.0050835,0.100799,1.61728
8,28,0.00836029,1.38579,-5.24535
9,28,0.00262856,0.847145,-1.62125
10,28,0.0159549,-3.73006,16.2014
1,29,-0.0401871,-1.60283,45.332
2,29,-0.0403806,-1.07068,11.0514
3,29,-0.0339093,-2.52773,29.8048
4,29,-0.0344852,-3.27566,21.5816
5,29,-0.0333842,-3.17728,39.6683
6,29,-0.0410037,-0.602629,27.6447
7,29,-0.0355374,-3.16079,10.1929
8,29,-0.0491412,1.22276,26.2406
9,29,-0.0421835,-0.0863146,41.2816
10,29,-0.045821,0.673269,18.0577
1,30,0.00164962,6.60417,-12.5258
2,30,0.023796,1.78531,-9.31242
3,30,0.0274324,1.00895,-17.4281
4,30,0.0209161,1.71252,-8.32998
5,30,0.0281674,-0.971909,-15.1704
6,30,0.0284153,-0.263921,-24.4814
7,30,0.0156562,1.38733,-33.3224
8,30,0.0168025,1.17163,-14.5962
9,30,0.0206735,2.73184,-18.3312
10,30,0.0266134,2.05214,-34.6249
1,31,-0.0370032,3.82355,-27.2823
2,31,-0.0338056,1.37687,-16.6415
3,31,-0.0397846,1.86117,-11.3395
4,31,-0.0377796,2.88612,-20.016
5,31,-0.0428123,1.3206,-15.3572
6,31,-0.0399547,2.06893,-22.8028
7,31,-0.0460367,5.81283,-0.201545
8,31,-0.0413564,4.86079,-11.736
9,31,-0.0394828,2.39473,-30.9155
10,31,-0.034271,1.78892,-21.6738
1,32,-0.0582838,-1.16529,-74.3577
2,32,-0.0634305,0.581218,-53.6031
3,32,-0.0645262,3.11432,-80.0388
4,32,-0.0673613,2.14843,-51.1088
5,32,-0.0726058,5.77229,-59.8104
6,32,-0.0651492,1.4472,-75.9837
7,32,-0.0722845,3.88579,-56.4832
8,32,-0.0721677,3.57967,-41.9273
9,32,-0.082828,8.41962,-21.7248
10,32,-0.0805785,6.12069,0.661116
1,33,-0.0280193,0.477005,-39.9053
2,33,-0.0272718,2.06761,-46.5884
3,33,-0.0209351,-1.51488,-48.0043
4,33,-0.0188218,-1.53958,-42.2464
5,33,-0.0151841,-1.87035,-26.2472
6,33,-0.0197865,-0.10108,-43.9332
7,33,-0.0237555,-0.198703,-43.2495
8,33,-0.0232566,-0.291286,-31.5525
9,33,-0.0232569,1.22503,-31.961
10,33,-0.0261748,1.01668,-27.9954
1,34,-0.0186439,-1.99492,-21.2146
2,34,-0.0209765,-1.36427,-25.5462
3,34,-0.0200136,-0.650587,-27.0118
4,34,-0.0222065,-0.398302,-10.8232
5,34,-0.009658,-3.18874,-11.6854
6,34,-0.0244946,0.502928,-13.3055
7,34,-0.0200206,-0.40295,-28.7903
8,34,-0.0219692,-0.682351,-26.2616
9,34,-0.0175274,-1.74317,-33.4559
10,34,-0.0226206,-1.79064,-17.4203
1,35,0.0264311,-0.4506,10.2993
2,35,0.0249602,-1.68026,14.3906
3,35,0.0267826,-1.20219,24.3669
4,35,0.0134814,3.21095,16.0643
5,35,0.0415849,-3.19824,23.0028
6,35,0.0374417,-2.91373,0.0874444
7,35,0.0213252,0.12096,33.2034
8,35,0.0176849,1.41418,14.1498
9,35,0.0244589,-0.291683,4.87772
10,35,0.00703532,6.10068,10.9035
1,36,0.00312677,3.04562,2.72467
2,36,0.00687035,3.29841,0.212514
3,36,0.0123812,-0.0328644,5.72127
4,36,0.0183686,0.13369,1.71979
5,36,0.0105568,1.02338,11.6357
6,36,0.00330056,1.26868,11.2067
7,36,0.0022381,2.53891,19.7061
8,36,0.015188,1.22302,9.35723
9,36,0.0148659,0.416407,5.69788
10,36,0.0266644,-1.3459,7.10464
1,37,-0.0348426,-1.82977,3.77118
2,37,-0.0304418,-2.97463,-0.381189
3,37,-0.0442939,0.642479,4.78927
4,37,-0.0296409,-2.75447,-14.8336
5,37,-0.0220684,-4.26331,-13.2273
6,37,-0.0277497,-2.73132,-11.2608
7,37,-0.0182075,-5.44229,-24.0515
8,37,-0.0475709,2.09996,-7.88277
9,37,-0.0351834,-1.22725,-12.4861
10,37,-0.0366084,-1.69119,-20.8389
1,38,0.00890309,-2.43077,6.29234
2,38,0.00810672,-3.21673,21.4994
3,38,0.00670264,-2.95589,23.5388
4,38,0.00263717,-1.65868,14.647
5,38,-0.00396978,1.31294,20.5675
6,38,0.0286244,-4.61047,7.25667
7,38,0.0151799,-3.01602,25.086
8,38,0.0203147,-3.25833,12.6127
9,38,0.00989121,-2.38985,2.77432
10,38,0.011923,-3.31378,-0.816468
1,39,-0.0239197,-3.62282,-8.09734
2,39,-0.026959,-3.79311,-20.6585
3,39,-0.0108545,-6.56152,-26.721
4,39,-0.0199853,-5.34476,-5.51513
5,39,-0.0269767,-4.27544,-19.4718
6,39,-0.0256876,-3.98145,-30.9471
7,39,-0.038503,-0.520654,-10.8226
8,39,-0.030784,-2.92381,-26.3582
9,39,-0.0272513,-3.0669,-10.2941
10,39,-0.0374284,-1.03121,-3.91159
1,40,0.0280563,-2.43648,9.7868
2,40,0.023778,-0.906178,18.675
3,40,0.0104483,2.28052,18.4625
4,40,0.00788616,3.39411,9.3686
5,40,0.00913464,0.0817416,36.4463
6,40,0.0285952,-1.99009,3.41768
7,40,0.0200629,-0.477691,5.95069
8,40,0.0337337,-2.1022,7.63882
9,40,0.010669,1.81357,21.2604
10,40,0.0142533,1.74399,15.3473
1,41,-0.0115312,5.66269,13.9007
2,41,0.0066447,-0.465302,29.6729
3,41,0.00895197,1.66332,19.5364
4,41,0.0207498,-2.34583,20.3609
5,41,0.023579,-2.08159,-7.57288
6,41,0.0213599,-1.44325,6.61269
7,41,0.0073621,1.67338,13.5629
8,41,0.00684457,-0.477815,8.37207
9,41,0.00189111,4.19865,17.1561
10,41,0.00966677,-0.151951,16.1416
1,42,0.0111384,1.10114,13.9827
2,42,0.0163444,0.901695,0.334965
3,42,0.0134856,3.05473,-2.2312
4,42,0.0171316,2.3704,4.10855
5,42,0.00414748,1.76528,-0.330399
6,42,0.00236925,1.76361,10.095
7,42,0.0204218,1.36161,10.5323
8,42,0.00804411,4.58219,2.41351
9,42,0.0239466,-1.77929,-2.18826
10,42,0.0319827,-1.44465,6.1978
1,43,0.0476091,-0.316621,-46.7956
2,43,0.0491929,-1.41649,-42.9778
3,43,0.0293772,1.00797,-37.3078
4,43,0.046271,-0.974273,-51.7094
5,43,0.0432377,0.486851,-48.1468
6,43,0.0310706,2.88189,-58.9034
7,43,0.0416234,-0.519699,-49.1908
8,43,0.0409865,-1.02446,-58.8854
9,43,0.0512244,0.266782,-61.2581
10,43,0.0499911,1.30608,-53.2333
1,44,-0.00665213,4.80182,29.8156
2,44,0.00632503,2.32811,23.4227
3,44,0.0303296,-0.00629762,4.57478
4,44,0.0326673,-2.08801,26.4752
5,44,0.0207792,0.573465,13.3692
6,44,0.0162963,-0.099112,15.2211
7,44,0.0274276,0.937424,8.94249
8,44,0.0269049,-1.0772,11.1905
9,44,0.0381335,-3.50707,22.8361
10,44,0.0201112,0.11617,13.3581
1,45,0.00485725,1.62106,12.3137
2,45,0.00382804,-0.351106,10.7218
3,45,0.0310564,-4.70222,6.26291
4,45,0.0127234,-1.30845,8.11546
5,45,0.00586361,-1.95075,-5.36204
6,45,0.0208428,-1.86386,-6.59826
7,45,0.0272857,-4.31924,-1.04002
8,45,0.0215248,-3.35814,9.83342
9,45,0.0109499,-0.205869,14.0141
10,45,0.0197715,-3.2401,-10.6357
1,46,0.00753157,0.532543,21.0333
2,46,-7.68795e-05,2.27264,31.5683
3,46,0.0109487,-0.354346,27.1743
4,46,0.0117975,-0.509854,32.617
5,46,0.00466175,-0.536107,47.6911
6,46,0.00674977,-1.37486,40.676
7,46,-0.000307564,1.63434,38.3812
8,46,0.00690039,-0.539261,43.6919
9,46,0.00985063,-1.55759,28.6484
10,46,-0.000767502,-0.312281,32.6548
1,47,0.0308158,-4.55071,-6.4434
2,47,0.0250379,-4.38287,-32.1319
3,47,0.00722766,-2.40264,-14.2729
4,47,0.00338713,-0.681624,-25.5323
5,47,-0.0065295,2.21615,-21.4234
6,47,0.00584743,-0.263396,-23.8423
7,47,-0.00139868,0.357679,-24.4301
8,47,0.0217224,-3.6908,-11.9404
9,47,0.00504929,1.06829,-15.4799
10,47,0.00579257,-0.435917,-9.65549
1,48,-0.017702,-2.28319,48.0274
2,48,-0.0119506,-3.99711,39.7763
3,48,-0.0139818,-3.64108,36.3853
4,48,-0.0173209,-2.21634,47.6403
5,48,-0.0180032,-2.72061,62.311
6,48,-0.0222937,-1.5883,58.0545
7,48,-0.0183688,-2.42953,66.3045
8,48,-0.0281265,0.829849,62.1168
9,48,-0.0285756,-0.22939,66.3797
10,48,-0.00484566,-5.29047,70.0834
1,49,-0.0370033,1.03401,-23.5647
2,49,-0.0299226,-0.308552,-0.0132428
3,49,-0.0195814,-3.37654,4.27828
4,49,-0.0244317,-2.64956,-8.76721
5,49,-0.0283565,0.0389157,1.48708
6,49,-0.0219989,-2.53413,-5.83672
7,49,-0.0240065,-1.64373,-9.33868
8,49,-0.0270377,-1.39655,-8.42418
9,49,-0.0242949,-1.73369,-11.3561
10,49,-0.0229844,-2.06897,8.29957
