rep,id,rs,S0,K
8,6,0.158503,6.70454,703.389
9,6,0.154499,9.1485,721.058
10,6,0.155337,6.84231,723.029
1,7,0.129235,8.71497,771.317
2,7,0.123822,10.3844,754.368
3,7,0.143606,5.49939,747.086
4,7,0.122325,10.8286,773.878
5,7,0.135522,10.7043,731.755
6,7,0.134825,8.90298,739.942
7,7,0.140883,7.54905,750.868
8,7,0.12763,10.5188,779.041
9,7,0.130976,10.0373,765.923
10,7,0.133693,8.24232,760.176
1,8,0.136147,4.94226,724.458
2,8,0.124718,8.47371,720.055
3,8,0.131832,5.82375,730.368
4,8,0.133852,6.076,719.857
5,8,0.14486,4.13192,699.899
6,8,0.128212,8.18434,739.103
7,8,0.131537,6.981,738.212
8,8,0.117863,10.6714,702.726
9,8,0.131844,6.19042,712.717
10,8,0.123417,7.52659,713.309
1,9,0.127083,10.1252,727.308
2,9,0.124941,10.4613,736.429
3,9,0.130272,9.63416,744.866
4,9,0.143743,6.44892,730.797
5,9,0.14813,6.06824,726.54
6,9,0.145672,4.10769,728.57
7,9,0.127874,10.6145,745.078
8,9,0.114992,12.3489,732.606
9,9,0.13886,7.01212,736.884
10,9,0.161457,2.88261,725.776
1,10,0.159132,10.4813,771.707
2,10,0.174246,8.80846,755.773
3,10,0.167322,14.4016,743.98
4,10,0.170842,9.58351,764.427
5,10,0.176316,10.1044,762.323
6,10,0.168565,12.9217,744.834
7,10,0.170845,10.2322,749.599
8,10,0.174837,9.05148,766.827
9,10,0.179681,6.83749,754.759
10,10,0.160701,10.7772,741.736
1,11,0.189461,8.6295,709.509
2,11,0.194478,11.8238,704.118
3,11,0.200008,8.67404,694.98
4,11,0.199663,7.60512,706.41
5,11,0.203053,10.2297,698.582
6,11,0.192087,10.287,693.609
7,11,0.203546,9.0954,724.512
8,11,0.197259,9.49487,701.349
9,11,0.180372,13.8839,706.726
10,11,0.188163,11.4018,699.9
1,12,0.159979,10.7604,687.56
2,12,0.151173,11.5635,666.847
3,12,0.157501,10.6937,664.073
4,12,0.171223,7.1915,691.514
5,12,0.174965,5.83683,674.082
6,12,0.184647,4.77369,674.101
7,12,0.168873,7.90919,650.567
8,12,0.158961,9.57339,668.01
9,12,0.156127,10.9924,662.832
10,12,0.161461,8.39695,684.154
1,13,0.150491,9.63941,708.7
2,13,0.158135,8.63181,705.671
3,13,0.155771,9.06423,684.388
4,13,0.155609,10.1207,706.588
5,13,0.148813,12.0601,695.571
6,13,0.152809,8.88321,698.668
7,13,0.164975,7.3466,705.682
8,13,0.179836,6.69814,696.916
9,13,0.156522,10.1772,698.855
10,13,0.154509,10.1677,696.915
1,14,0.116275,13.9876,745.06
2,14,0.138692,8.7888,730.073
3,14,0.119335,11.6237,738.507
4,14,0.112932,16.2335,725.13
5,14,0.140373,7.05448,727.187
6,14,0.130308,8.21177,732.541
7,14,0.134286,10.4927,714.704
8,14,0.133417,8.68895,735.748
9,14,0.127088,9.51662,727.317
10,14,0.131143,8.12454,732.636
1,15,0.104673,11.9679,678.242
2,15,0.116327,7.74581,654.547
3,15,0.124281,5.60509,658.19
4,15,0.111716,10.0364,693
5,15,0.120947,7.00197,669.732
6,15,0.107848,9.79028,660.437
7,15,0.10669,8.97203,677.242
8,15,0.111501,8.43236,663.444
9,15,0.115989,7.88687,657.159
10,15,0.104897,11.2293,674.186
1,16,0.142644,7.00992,722.08
2,16,0.144188,8.27587,724.073
3,16,0.149518,6.86124,710.476
4,16,0.137321,9.86835,724.638
5,16,0.140481,8.76732,715.012
6,16,0.153753,5.30139,724.887
7,16,0.139836,9.6659,712.217
8,16,0.144607,7.85367,729.234
9,16,0.150946,8.33114,721.127
10,16,0.143812,8.89444,714.655
1,17,0.177384,8.06025,697.248
2,17,0.161962,10.1063,715.56
3,17,0.158686,9.64036,737.568
4,17,0.153602,12.9828,723.488
5,17,0.149988,10.5104,717.711
6,17,0.168901,5.93044,724.789
7,17,0.159954,11.386,707.142
8,17,0.178606,7.73625,705.159
9,17,0.175802,6.6459,720.537
10,17,0.176588,7.97952,726.506
1,18,0.150995,5.5151,682.146
2,18,0.148534,5.75151,686.765
3,18,0.176749,2.19272,679.552
4,18,0.13706,6.74868,692.737
5,18,0.142538,7.1184,697.981
6,18,0.14338,6.0249,702.916
7,18,0.159848,4.94742,673.972
8,18,0.157964,3.76483,692.685
9,18,0.16037,4.73196,695.386
10,18,0.153209,5.21064,670.152
1,19,0.12636,8.5564,714.807
2,19,0.125607,8.671,704.287
3,19,0.115095,12.228,732.986
4,19,0.133448,5.77222,694.863
5,19,0.117616,10.8856,728.248
6,19,0.119603,11.3982,731.488
7,19,0.129675,8.06611,717.792
8,19,0.129004,8.04242,720.71
9,19,0.124789,8.43437,731.357
10,19,0.124526,8.87223,731.225
1,20,0.179844,10.9207,733.723
2,20,0.181656,6.15092,740.971
3,20,0.189341,6.22075,732.157
4,20,0.174919,8.2998,736.494
5,20,0.172538,10.6379,727.386
6,20,0.170669,10.9133,728.105
7,20,0.17867,9.94383,719.788
8,20,0.174751,9.00708,727.419
9,20,0.181217,9.12469,719.973
10,20,0.172751,8.59943,747.173
1,21,0.113114,10.6995,780.084
2,21,0.106888,12.1797,782.978
3,21,0.122956,7.93011,774.899
4,21,0.114768,9.19092,761.361
5,21,0.107952,12.4551,775.178
6,21,0.112218,9.96494,791.825
7,21,0.10961,11.0991,761.13
8,21,0.109283,11.5422,763.315
9,21,0.11248,10.5907,793.42
10,21,0.107424,10.5055,787.443
1,22,0.137295,11.2056,692.106
2,22,0.157219,6.14313,701.62
3,22,0.155094,5.43115,724.033
4,22,0.136523,9.05865,728.278
5,22,0.146947,7.91172,701.176
6,22,0.138586,7.69572,718.391
7,22,0.145291,7.5638,712.227
8,22,0.152688,7.80773,705.126
9,22,0.149169,6.18274,710.726
10,22,0.134661,9.60558,712.241
1,23,0.168267,10.4982,676.909
2,23,0.17322,7.10785,662.517
3,23,0.168549,8.51802,676.422
4,23,0.162364,10.0537,657.212
5,23,0.176513,8.9824,670.971
6,23,0.179699,7.44968,670.488
7,23,0.167337,7.55843,675.169
8,23,0.167609,8.47491,680.678
9,23,0.169145,9.87415,656.701
10,23,0.164246,10.6714,670.777
1,24,0.174269,8.40282,691.229
2,24,0.170525,12.5501,692.443
3,24,0.175098,10.6782,691.941
4,24,0.179012,9.44363,686.968
5,24,0.166678,12.5719,670.575
6,24,0.178916,9.70397,693.942
7,24,0.161738,11.5687,680.025
8,24,0.184382,7.87879,678.778
9,24,0.186051,6.67509,670.223
10,24,0.146834,15.5014,688.298
1,25,0.132239,10.6905,696.8
2,25,0.134019,10.6854,661.281
3,25,0.12655,11.504,668.371
4,25,0.127735,10.9939,675.699
5,25,0.13302,8.43631,693.033
6,25,0.13409,8.09096,688.146
7,25,0.141051,7.19604,675.651
8,25,0.138172,8.04543,670.729
9,25,0.134805,10.2901,680.606
10,25,0.136512,8.89762,675.648
1,26,0.14442,8.84084,747.742
2,26,0.143628,10.8871,749.51
3,26,0.149828,8.7376,742.645
4,26,0.149499,9.79462,742.941
5,26,0.175565,4.35687,743.044
6,26,0.141948,9.73776,754.863
7,26,0.142689,10.4554,735.036
8,26,0.158621,7.56967,725.048
9,26,0.144473,11.7207,748.034
10,26,0.14209,10.9659,758.36
1,27,0.147147,8.00233,693.458
2,27,0.154582,5.36416,685.721
3,27,0.160635,4.97975,677.711
4,27,0.142432,10.6521,687.52
5,27,0.136693,9.74739,683.814
6,27,0.14351,8.93267,681.02
7,27,0.147257,8.85106,669.812
8,27,0.14883,7.26152,670.962
9,27,0.143339,9.05314,684.25
10,27,0.153528,7.23268,683.62
1,28,0.149708,7.39349,713.815
2,28,0.165361,5.87672,694.493
3,28,0.141322,11.0901,716.064
4,28,0.150913,8.02522,704.239
5,28,0.145476,9.59516,719.662
6,28,0.14937,9.25457,693.385
7,28,0.152007,8.80316,709.224
8,28,0.155284,10.0881,702.361
9,28,0.149552,9.54951,705.985
10,28,0.162878,4.9723,723.808
1,29,0.106736,7.09954,752.938
2,29,0.106543,7.63168,718.658
3,29,0.113014,6.17463,737.411
4,29,0.112438,5.4267,729.188
5,29,0.113539,5.52509,747.275
6,29,0.10592,8.09974,735.251
7,29,0.111386,5.54158,717.799
8,29,0.0977822,9.92513,733.847
9,29,0.10474,8.61605,748.888
10,29,0.101102,9.37563,725.664
1,30,0.148573,15.3065,695.08
2,30,0.170719,10.4877,698.294
3,30,0.174356,9.71131,690.178
4,30,0.16784,10.4149,699.276
5,30,0.175091,7.73046,692.436
6,30,0.175339,8.43844,683.125
7,30,0.16258,10.0897,674.284
8,30,0.163726,9.87399,693.01
9,30,0.167597,11.4342,689.275
10,30,0.173537,10.7545,672.981
1,31,0.10992,12.5259,680.324
2,31,0.113118,10.0792,690.965
3,31,0.107139,10.5635,696.267
4,31,0.109144,11.5885,687.59
5,31,0.104111,10.023,692.249
6,31,0.106969,10.7713,684.803
7,31,0.100887,14.5152,707.405
8,31,0.105567,13.5632,695.87
9,31,0.107441,11.0971,676.691
10,31,0.112652,10.4913,685.932
1,32,0.0886396,7.53707,633.249
2,32,0.0834929,9.28358,654.003
3,32,0.0823972,11.8167,627.568
4,32,0.0795621,10.8508,656.497
5,32,0.0743176,14.4747,647.796
6,32,0.0817742,10.1496,631.623
7,32,0.0746389,12.5882,651.123
8,32,0.0747557,12.282,665.679
9,32,0.0640954,17.122,685.881
10,32,0.0663449,14.8231,708.267
1,33,0.118904,9.17937,667.701
2,33,0.119652,10.77,661.018
3,33,0.125988,7.18748,659.602
4,33,0.128102,7.16278,665.36
5,33,0.131739,6.83202,681.359
6,33,0.127137,8.60128,663.673
7,33,0.123168,8.50366,664.357
8,33,0.123667,8.41108,676.054
9,33,0.123666,9.92739,675.645
10,33,0.120749,9.71904,679.611
1,34,0.128279,6.70745,686.392
2,34,0.125947,7.3381,682.06
3,34,0.12691,8.05178,680.594
4,34,0.124717,8.30406,696.783
5,34,0.137265,5.51362,695.921
6,34,0.122429,9.20529,694.301
7,34,0.126903,8.29941,678.816
8,34,0.124954,8.02001,681.345
9,34,0.129396,6.9592,674.15
10,34,0.124303,6.91172,690.186
1,35,0.173354,8.25176,717.906
2,35,0.171884,7.02211,721.997
3,35,0.173706,7.50018,731.973
4,35,0.160405,11.9133,723.671
5,35,0.188508,5.50412,730.609
6,35,0.184365,5.78863,707.694
7,35,0.168249,8.82332,740.81
8,35,0.164608,10.1165,721.756
9,35,0.171382,8.41068,712.484
10,35,0.153959,14.803,718.51
1,36,0.15005,11.748,710.331
2,36,0.153794,12.0008,707.819
3,36,0.159305,8.6695,713.328
4,36,0.165292,8.83605,709.326
5,36,0.15748,9.72574,719.242
6,36,0.150224,9.97104,718.813
7,36,0.149162,11.2413,727.312
8,36,0.162111,9.92539,716.963
9,36,0.161789,9.11877,713.304
10,36,0.173588,7.35646,714.711
1,37,0.112081,6.87259,711.377
2,37,0.116482,5.72774,707.225
3,37,0.10263,9.34484,712.396
4,37,0.117283,5.9479,692.773
5,37,0.124855,4.43905,694.379
6,37,0.119174,5.97105,696.345
7,37,0.128716,3.26007,683.555
8,37,0.0993525,10.8023,699.723
9,37,0.11174,7.47512,695.12
10,37,0.110315,7.01117,686.767
1,38,0.155827,6.27159,713.899
2,38,0.15503,5.48563,729.106
3,38,0.153626,5.74648,731.145
4,38,0.149561,7.04368,722.253
5,38,0.142954,10.0153,728.174
6,38,0.175548,4.09189,714.863
7,38,0.162103,5.68634,732.692
8,38,0.167238,5.44403,720.219
9,38,0.156815,6.31251,710.381
10,38,0.158846,5.38858,706.79
1,39,0.123004,5.07955,699.509
2,39,0.119964,4.90925,686.948
3,39,0.136069,2.14084,680.885
4,39,0.126938,3.35761,702.091
5,39,0.119947,4.42693,688.134
6,39,0.121236,4.72092,676.659
7,39,0.10842,8.18171,696.784
8,39,0.116139,5.77855,681.248
9,39,0.119672,5.63546,697.312
10,39,0.109495,7.67115,703.695
1,40,0.17498,6.26588,717.393
2,40,0.170701,7.79619,726.281
3,40,0.157372,10.9829,726.069
4,40,0.15481,12.0965,716.975
5,40,0.156058,8.78411,744.053
6,40,0.175519,6.71227,711.024
7,40,0.166986,8.22467,713.557
8,40,0.180657,6.60017,715.245
9,40,0.157592,10.5159,728.867
10,40,0.161177,10.4464,722.954
1,41,0.135392,14.3651,721.507
2,41,0.153568,8.23706,737.279
3,41,0.155875,10.3657,727.143
4,41,0.167673,6.35654,727.967
5,41,0.170502,6.62077,700.033
6,41,0.168283,7.25911,714.219
7,41,0.154286,10.3757,721.169
8,41,0.153768,8.22455,715.978
9,41,0.148815,12.901,724.762
10,41,0.15659,8.55041,723.748
1,42,0.158062,9.80351,721.589
2,42,0.163268,9.60406,707.941
3,42,0.160409,11.7571,705.375
4,42,0.164055,11.0728,711.715
5,42,0.151071,10.4676,707.276
6,42,0.149293,10.466,717.701
7,42,0.167345,10.064,718.139
8,42,0.154968,13.2846,710.02
9,42,0.17087,6.92308,705.418
10,42,0.178906,7.25771,713.804
1,43,0.194533,8.38574,660.811
2,43,0.196116,7.28588,664.629
3,43,0.176301,9.71033,670.298
4,43,0.193194,7.72809,655.897
5,43,0.190161,9.18921,659.459
6,43,0.177994,11.5843,648.703
7,43,0.188547,8.18266,658.415
8,43,0.18791,7.67791,648.721
9,43,0.198148,8.96915,646.348
10,43,0.196915,10.0084,654.373
1,44,0.140271,13.5042,737.422
2,44,0.153248,11.0305,731.029
3,44,0.177253,8.69607,712.181
4,44,0.179591,6.61436,734.081
5,44,0.167703,9.27583,720.975
6,44,0.16322,8.60325,722.827
7,44,0.174351,9.63979,716.549
8,44,0.173828,7.62517,718.797
9,44,0.185057,5.1953,730.442
10,44,0.167035,8.81853,720.964
1,45,0.151781,10.3234,719.92
2,45,0.150751,8.35126,718.328
3,45,0.17798,4.00015,713.869
4,45,0.159647,7.39391,715.722
5,45,0.152787,6.75161,702.244
6,45,0.167766,6.83851,701.008
7,45,0.174209,4.38312,706.566
8,45,0.168448,5.34422,717.44
9,45,0.157873,8.49649,721.62
10,45,0.166695,5.46227,696.971
1,46,0.154455,9.23491,728.64
2,46,0.146847,10.975,739.175
3,46,0.157872,8.34802,734.781
4,46,0.158721,8.19251,740.223
5,46,0.151585,8.16626,755.297
6,46,0.153673,7.3275,748.282
7,46,0.146616,10.3367,745.987
8,46,0.153824,8.1631,751.298
9,46,0.156774,7.14477,736.255
10,46,0.146156,8.39008,740.261
1,47,0.177739,4.15165,701.163
2,47,0.171961,4.31949,675.474
3,47,0.154151,6.29972,693.333
4,47,0.150311,8.02074,682.074
5,47,0.140394,10.9185,686.183
6,47,0.152771,8.43897,683.764
7,47,0.145525,9.06004,683.176
8,47,0.168646,5.01156,695.666
9,47,0.151973,9.77065,692.126
10,47,0.152716,8.26645,697.951
1,48,0.129221,6.41917,755.634
2,48,0.134973,4.70525,747.383
3,48,0.132942,5.06129,743.992
4,48,0.129603,6.48602,755.247
5,48,0.12892,5.98175,769.917
6,48,0.12463,7.11406,765.661
7,48,0.128555,6.27283,773.911
8,48,0.118797,9.53221,769.723
9,48,0.118348,8.47297,773.986
10,48,0.142078,3.41189,777.69
1,49,0.10992,9.73637,684.042
2,49,0.117001,8.39381,707.593
3,49,0.127342,5.32582,711.885
4,49,0.122492,6.05281,698.839
5,49,0.118567,8.74128,709.093
6,49,0.124924,6.16823,701.77
7,49,0.122917,7.05863,698.268
8,49,0.119886,7.30581,699.182
9,49,0.122628,6.96867,696.25
10,49,0.123939,6.63339,715.906
